system:index,Date,Latitude,Longitude,LST_Celsius,NDVI,Air_Temperature_C,Dew_Point_Temperature_C,Relative_Humidity_%,WindDirection,WindSpeed,Rainfall_mm,impervious_percentage,Cluster,UHI_Label
20250331_0,2025-03-31,18.869522522522523,72.76850980392157,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0,Moderate UHI
20250331_1,2025-03-31,18.869522522522523,72.81752941176471,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0,Moderate UHI
20250331_2,2025-03-31,18.869522522522523,72.86654901960785,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0,Moderate UHI
20250331_3,2025-03-31,18.869522522522523,72.91556862745098,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,5.300383071077714,0,Moderate UHI
20250331_4,2025-03-31,18.869522522522523,72.96458823529412,29.705378468831384,0.3001,29.705378468831384,20.659530258178734,58.31571428318223,103.29184392387276,1.2898157406761306,0.0552713869979015,7.1653321356824655,1,High UHI
20250331_5,2025-03-31,18.869522522522523,73.01360784313725,29.705378468831384,0.2124,29.705378468831384,20.659530258178734,58.31571428318223,103.29184392387276,1.2898157406761306,0.0552713869979015,2.9758604391325103,1,High UHI
20250331_6,2025-03-31,18.869522522522523,73.06262745098039,30.018936411539755,0.4622,30.018936411539755,19.852401351928734,54.48347434719263,82.73602419914474,0.9091669383737204,0.0369280575682751,1.031847242506319,1,High UHI
20250331_7,2025-03-31,18.869522522522523,73.11164705882352,30.018936411539755,0.3728,30.018936411539755,19.852401351928734,54.48347434719263,82.73602419914474,0.9091669383737204,0.0369280575682751,1.240702748853616,1,High UHI
20250331_8,2025-03-31,18.869522522522523,73.16066666666666,30.300349171956384,0.2992,30.300349171956384,19.072127914428734,51.06904641780733,76.1281727789711,0.7505213093270121,0.0934034584929577,7.01011945403502,1,High UHI
20250331_9,2025-03-31,18.869522522522523,73.20968627450979,30.300349171956384,0.2623,30.300349171956384,19.072127914428734,51.06904641780733,76.1281727789711,0.7505213093270121,0.0934034584929577,4.863724107157149,1,High UHI
20250331_10,2025-03-31,18.869522522522523,73.25870588235293,30.59714279174807,0.3462,30.59714279174807,18.08864809672042,47.20761994778146,85.51920793274711,0.662582558124892,0.1906782387663952,0.9473114045496324,1,High UHI
20250331_11,2025-03-31,18.869522522522523,73.30772549019606,30.59714279174807,0.3968,30.59714279174807,18.08864809672042,47.20761994778146,85.51920793274711,0.662582558124892,0.1906782387663952,0.4719817776831533,1,High UHI
20250331_12,2025-03-31,18.869522522522523,73.3567450980392,30.59714279174807,0.3058,30.432998911539755,16.549748357137048,43.233952594628825,94.95978927958556,0.6527068167124574,0.2658545969893566,0.7433564989707797,1,High UHI
20250331_13,2025-03-31,18.869522522522523,73.40576470588233,30.432998911539755,0.2769,30.432998911539755,16.549748357137048,43.233952594628825,94.95978927958556,0.6527068167124574,0.2658545969893566,0.1596388174743652,1,High UHI
20250331_14,2025-03-31,18.869522522522523,73.45478431372547,29.609431203206384,0.4356,29.609431203206384,14.865340805053734,40.695717678427386,99.77198763474588,0.7515396479110519,0.2049684523512951,0.1404447033996582,1,High UHI
20250331_15,2025-03-31,18.869522522522523,73.5038039215686,29.609431203206384,0.5031,29.609431203206384,14.865340805053734,40.695717678427386,99.77198763474588,0.7515396479110519,0.2049684523512951,0.4711886691583371,1,High UHI
20250331_16,2025-03-31,18.869522522522523,73.55282352941174,29.001765187581384,0.2215,29.609431203206384,14.865340805053734,40.695717678427386,99.77198763474588,0.7515396479110519,0.2049684523512951,0.8043534876264986,1,High UHI
20250331_17,2025-03-31,18.869522522522523,73.60184313725487,29.001765187581384,0.3165,29.001765187581384,13.550643539428734,38.70930215415247,108.61936953079427,0.8701638535982418,0.1061588524748913,0.963431569887647,1,High UHI
20250331_18,2025-03-31,18.869522522522523,73.65086274509801,29.645889536539755,0.2983,29.001765187581384,13.550643539428734,38.70930215415247,108.61936953079427,0.8701638535982418,0.1061588524748913,0.7113591531111176,1,High UHI
20250331_19,2025-03-31,18.869522522522523,73.69988235294115,29.645889536539755,0.257,29.645889536539755,12.731877263387048,35.352155791275194,117.70082792950448,0.9775539812233568,0.0214457510878673,1.016377891718247,1,High UHI
20250331_20,2025-03-31,18.91456756756757,72.76850980392157,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,0,Moderate UHI
20250331_21,2025-03-31,18.91456756756757,72.81752941176471,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.14942660556748,4,Moderate-High UHI
20250331_22,2025-03-31,18.91456756756757,72.86654901960785,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.3134974762636671,0,Moderate UHI
20250331_23,2025-03-31,18.91456756756757,72.91556862745098,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.187462824560667,0,Moderate UHI
20250331_24,2025-03-31,18.91456756756757,72.96458823529412,29.705378468831384,0.5566,29.705378468831384,20.659530258178734,58.31571428318223,103.29184392387276,1.2898157406761306,0.0552713869979015,7.2080297671527935,1,High UHI
20250331_25,2025-03-31,18.91456756756757,73.01360784313725,29.705378468831384,0.1623,29.705378468831384,20.659530258178734,58.31571428318223,103.29184392387276,1.2898157406761306,0.0552713869979015,10.738000203220148,1,High UHI
